rep,timeBef,timeAf,nSeeds,trt
4,25,26,0,2
4,26,27,0,2
4,27,28,0,2
4,28,29,0,2
4,29,30,0,2
4,30,31,0,2
4,31,32,0,2
4,32,33,0,2
4,33,34,0,2
4,34,35,0,2
4,36,inf,28,2
1,0,1,0,3
1,1,2,0,3
1,2,3,0,3
1,3,4,0,3
1,4,5,6,3
1,5,6,1,3
1,6,7,5,3
1,7,8,7,3
1,8,9,0,3
1,9,10,3,3
1,10,11,0,3
1,11,12,0,3
1,12,13,0,3
1,13,14,0,3
1,14,15,0,3
1,15,16,0,3
1,16,17,0,3
1,17,18,0,3
1,18,19,0,3
1,19,20,0,3
1,20,21,0,3
1,21,22,0,3
1,22,23,0,3
1,23,24,0,3
1,24,25,0,3
1,25,26,0,3
1,26,27,0,3
1,27,28,0,3
1,28,29,0,3
1,29,30,0,3
1,30,31,0,3
1,31,32,0,3
1,32,33,0,3
1,33,34,0,3
1,34,35,0,3
1,36,inf,28,3
2,0,1,0,3
2,1,2,0,3
2,2,3,0,3
2,3,4,0,3
2,4,5,6,3
2,5,6,2,3
2,6,7,3,3
2,7,8,5,3
2,8,9,0,3
2,9,10,2,3
2,10,11,0,3
2,11,12,0,3
2,12,13,0,3
2,13,14,0,3
2,14,15,0,3
2,15,16,0,3
2,16,17,0,3
2,17,18,0,3
2,18,19,0,3
2,19,20,0,3
2,20,21,0,3
2,21,22,0,3
2,22,23,0,3
2,23,24,0,3
2,24,25,0,3
2,25,26,0,3
2,26,27,0,3
2,27,28,0,3
2,28,29,0,3
2,29,30,0,3
2,30,31,0,3
2,31,32,0,3
2,32,33,0,3
2,33,34,0,3
2,34,35,0,3
2,36,inf,32,3
3,0,1,0,3
3,1,2,0,3
3,2,3,0,3
3,3,4,0,3
3,4,5,6,3
3,5,6,2,3
3,6,7,6,3
3,7,8,6,3
3,8,9,0,3
3,9,10,3,3
3,10,11,0,3
3,11,12,0,3
3,12,13,0,3
3,13,14,0,3
3,14,15,0,3
3,15,16,0,3
3,16,17,0,3
3,17,18,0,3
3,18,19,0,3
3,19,20,0,3
3,20,21,0,3
3,21,22,0,3
3,22,23,0,3
3,23,24,0,3
3,24,25,0,3
3,25,26,0,3
3,26,27,0,3
3,27,28,0,3
3,28,29,0,3
3,29,30,0,3
3,30,31,0,3
3,31,32,0,3
3,32,33,0,3
3,33,34,0,3
3,34,35,0,3
3,36,inf,27,3
4,0,1,0,3
4,1,2,0,3
4,2,3,0,3
4,3,4,0,3
4,4,5,6,3
4,5,6,2,3
4,6,7,8,3
4,7,8,5,3
4,8,9,0,3
4,9,10,6,3
4,10,11,0,3
4,11,12,0,3
4,12,13,0,3
4,13,14,0,3
4,14,15,0,3
4,15,16,0,3
4,16,17,0,3
4,17,18,1,3
4,18,19,0,3
4,19,20,0,3
4,20,21,0,3
4,21,22,0,3
4,22,23,0,3
